250	0.00024
500	0.00108
750	0.00254
1000	0.00424
1250	0.00728
1500	0.00952
1750	0.01286
2000	0.0169
2250	0.02124
2500	0.02606
2750	0.03166
3000	0.03806
3250	0.04454
3500	0.0516
3750	0.05894
4000	0.06718
4250	0.07692
4500	0.08668
4750	0.09488
5000	0.10528
5250	0.11536
5500	0.12608
5750	0.14068
6000	0.15882
6250	0.17368
6500	0.19056
6750	0.20044
7000	0.2135
7250	0.22916
7500	0.2428
7750	0.25576
8000	0.27218
8250	0.29018
8500	0.3079
8750	0.32586
9000	0.3458
9250	0.36736
9500	0.39284
9750	0.40514
10000	0.43378
10250	0.45812
10500	0.49632
10750	0.50572
11000	0.52508
11250	0.61016
11500	0.6332
11750	0.65202
12000	0.68736
12250	0.70916
12500	0.7427
12750	0.77408
13000	0.78976
13250	0.8327
13500	0.85298
13750	0.90452
14000	0.93924
14250	0.97246
14500	0.97022
14750	0.99676
15000	1.06592
15250	1.07884
15500	1.09706
15750	1.14076
16000	1.16918
16250	1.21994
16500	1.25042
16750	1.29262
17000	1.32432
17250	1.3659
17500	1.3773
17750	1.34944
18000	1.3865
18250	1.42004
18500	1.46008
18750	1.50494
19000	1.54402
19250	1.58316
19500	1.61572
19750	1.63722
20000	1.71628
20250	1.77948
20500	1.75668
20750	1.79812
21000	1.88672
21250	1.94988
21500	2.00186
21750	2.03084
22000	2.05236
22250	2.26586
22500	2.27464
22750	2.45248
23000	2.47004
23250	2.53186
23500	2.4902
23750	2.60216
24000	2.68324
24250	2.72372
24500	2.77342
24750	2.84334
25000	2.89238
