250	62500
500	250000
750	562500
1000	1000000
1250	1562500
1500	2250000
1750	3062500
2000	4000000
2250	5062500
2500	6250000
2750	7562500
3000	9000000
3250	10562500
3500	12250000
3750	14062500
4000	16000000
4250	18062500
4500	20250000
4750	22562500
5000	25000000
5250	27562500
5500	30250000
5750	33062500
6000	36000000
6250	39062500
6500	42250000
6750	45562500
7000	49000000
7250	52562500
7500	56250000
7750	60062500
8000	64000000
8250	68062500
8500	72250000
8750	76562500
9000	81000000
9250	85562500
9500	90250000
9750	95062500
10000	100000000
10250	105062500
10500	110250000
10750	115562500
11000	121000000
11250	126562500
11500	132250000
11750	138062500
12000	144000000
12250	150062500
12500	156250000
12750	162562500
13000	169000000
13250	175562500
13500	182250000
13750	189062500
14000	196000000
14250	203062500
14500	210250000
14750	217562500
15000	225000000
15250	232562500
15500	240250000
15750	248062500
16000	256000000
16250	264062500
16500	272250000
16750	280562500
17000	289000000
17250	297562500
17500	306250000
17750	315062500
18000	324000000
18250	333062500
18500	342250000
18750	351562500
19000	361000000
19250	370562500
19500	380250000
19750	390062500
20000	400000000
20250	410062500
20500	420250000
20750	430562500
21000	441000000
21250	451562500
21500	462250000
21750	473062500
22000	484000000
22250	495062500
22500	506250000
22750	517562500
23000	529000000
23250	540562500
23500	552250000
23750	564062500
24000	576000000
24250	588062500
24500	600250000
24750	612562500
25000	625000000
